rms,zcr,freq_fundamental,freq_maxima,freq_minima,centroide,bandwidth,rolloff,flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,archivo,especie
0.03791501,0.1263891522552589,598.5500599025878,11025.0,19.9909338168631,1647.3715350924413,1733.5792854715519,3239.181330906149,0.0449517,-286.06146,97.61739,19.16142,27.928616,13.47207,6.3619313,-3.5341651,5.8538046,-3.4302418,-1.6409401,0.7134815,3.6283298,-7.6004467,CSA36385.ogg,1139490
0.0359479,0.13120944206786542,455.5535291360622,11025.0,19.9909338168631,1630.7301279633502,1673.2766375730612,3151.9281363937685,0.048812777,-291.91507,98.90076,14.538523,27.787214,14.127913,4.7929273,-4.547539,4.569827,-3.4840739,-2.458645,-1.0101703,2.659132,-7.509585,CSA36389.ogg,1139490
0.027401535,0.08625172050802689,977.3197325051115,11025.0,19.9909338168631,1560.7429173050605,1734.5255846550806,3153.677277716795,0.016068902,-320.93802,98.408,18.788994,30.855919,16.934767,5.354195,-3.7521124,2.743162,-3.379869,-0.96969646,-1.683302,1.5786436,-4.717636,CSA36358.ogg,1192948
0.041436482,0.13873394716133192,943.3774958054854,11025.0,19.9909338168631,1666.7805604545465,1633.410090835619,3102.373141686893,0.032605737,-285.809,99.33587,19.466179,30.61322,16.666494,3.8947923,-7.364758,3.2791114,-4.3193,-2.8630946,-3.1528392,0.47093502,-5.937728,CSA36366.ogg,1192948
0.03597349,0.13430734312287743,639.821092457818,11025.0,19.9909338168631,1650.8488296262292,1658.788507562494,3153.4713646187097,0.04020841,-293.25952,100.67256,16.49983,29.961885,12.934856,1.0702839,-1.5269569,8.425238,-8.2923,-4.159145,1.4794046,0.58067244,-6.4242024,CSA36373.ogg,1192948
0.03593668,0.13894715310730935,680.6396032048173,11025.0,19.9909338168631,1725.3646663378288,1724.562881533994,3311.688311688312,0.04261568,-285.66602,95.28686,16.888222,28.38275,15.017118,5.4302764,-2.7854548,5.2366467,-2.738207,-1.2559875,0.59740674,2.9461937,-8.6104765,CSA36388.ogg,1192948
0.13650845,0.10689100826932607,5787.46183676965,11025.0,19.9909338168631,2271.1471202739554,2335.01170533623,4943.972993062438,0.030572595,-223.35178,61.00003,6.4406323,-2.1303575,21.950388,-8.418173,20.375961,-1.0124314,12.14254,5.8730817,5.237593,9.73694,2.5097055,CSA18783.ogg,1194042
0.06568024,0.14414941869075829,2839.867629287781,11025.0,19.9909338168631,1982.925055175339,1870.2700894922068,3647.493335308057,0.005014454,-293.60495,98.692566,53.704044,28.82645,23.849327,-15.085914,2.6123319,3.5197072,-12.49031,-3.5792944,7.8304095,-6.8411083,-6.046184,CSA18794.ogg,1194042
0.07133779,0.08359585378300903,5063.596910566557,11025.0,19.9909338168631,1994.8485451706065,1971.4914874459382,3838.472897845726,0.0064488505,-341.2108,65.82588,24.309198,4.8327622,19.388487,0.09479833,11.741138,5.818021,9.742869,4.891516,7.3297863,7.545079,2.1712394,CSA18802.ogg,1194042
0.06766623,0.44126314975247527,2801.398284443865,11025.0,20.007168615121707,3761.771634923427,2491.976983713493,7005.971534653465,0.07801743,-119.64518,-6.258863,-66.39198,-60.20457,3.1317015,-27.618416,14.378255,-39.34448,-7.280259,-1.4625735,-30.089476,-0.16077474,-2.1662195,iNat1109254.ogg,126247
0.040731907,0.10895905671296297,735.9465794364695,1454.4870734866365,19.9909338168631,1331.784281504944,1494.3667763205372,2514.4165305010893,0.012255002,-252.85527,131.68752,7.80353,-24.725237,-24.939491,-7.783136,4.8897305,18.731627,2.4622612,-7.830613,-11.031477,0.87436026,1.48183,iNat146584.ogg,126247
0.050533764,0.09542558290726375,671.0493019058152,11025.0,19.9909338168631,1372.4565762428813,1429.6277363502747,2502.6335507757403,0.027831439,-176.77377,119.52621,-25.66619,-1.6340259,-9.098333,19.064775,10.564891,19.77142,-3.5919163,-6.3079906,-5.314911,4.3597174,-3.1971166,iNat320679.ogg,126247
0.0038423098,0.12272781021659708,1173.5447612380772,7294.084390330109,19.9909338168631,1572.2713106913416,1706.2796043355002,3090.5043058455117,0.017945282,-499.1604,108.1905,11.38396,-29.54326,-21.066216,19.88211,23.864109,16.547693,-4.9596148,-4.334422,-3.9011238,12.876041,11.013391,iNat888527.ogg,126247
0.013710974,0.12447379399271845,812.3051831558574,6009.345239125807,19.9909338168631,1770.822237168542,1843.059300242078,3647.1859830097087,0.043485925,-355.47687,89.31517,2.221091,-3.526931,-8.416132,13.666266,17.648714,15.302277,2.4794967,-1.2766461,0.25607637,10.671253,10.206049,iNat888729.ogg,126247
0.0676877,0.4412670173267327,2805.9233628100037,11025.0,20.07863463047018,3761.834976802426,2492.0748585976935,7006.126237623763,0.07793068,-119.61476,-6.247856,-66.39823,-60.198696,3.12729,-27.648449,14.37968,-39.359768,-7.2542872,-1.4634522,-30.086908,-0.14460261,-2.149451,XC941297.ogg,126247
0.09614043,0.07311315433212996,600.3779244728464,8142.16628890739,19.9909338168631,1373.360370326385,1430.799832824558,2632.8237815884477,0.008831258,-143.62148,119.27674,-30.662437,16.02407,-9.897498,0.6798146,-7.851071,8.261301,-1.3656633,5.4547324,3.826675,0.48786393,4.198143,CSA18784.ogg,1346504
0.010098099,0.023751336863522536,9344.216028122244,11025.0,23.629274713139182,2785.6831997229156,2495.6542846485445,5830.785684474124,0.014475946,-486.18332,8.660643,17.599716,0.17018293,11.6842,0.31853142,7.9186854,3.2356071,5.973365,3.7600484,4.718588,4.736772,4.7711043,CSA18791.ogg,1346504
0.013583721,0.0930153383027523,9181.709381170036,11025.0,21.445318676366057,3385.3861022161504,2333.584535548205,5719.457783830275,0.013239051,-501.98883,7.1675777,22.433132,-1.7140002,15.170738,-3.400333,9.0127325,0.8806479,6.9324102,2.4888692,5.140898,4.365601,3.972844,CSA18792.ogg,1346504
0.03761933,0.15532333825811842,1155.717482310491,11025.0,19.9909338168631,1754.929120325575,1637.9469417506743,3360.729315902579,0.02817418,-351.34277,83.43952,1.5560241,11.873017,7.509119,-17.716196,0.8384104,1.2151142,-12.072576,1.2991933,10.680048,-11.062513,-3.8830311,CSA18793.ogg,1346504
0.06259918,0.04804279271975986,2353.242791010888,11025.0,19.9909338168631,1372.874232007549,1675.0517435369736,2895.6881855914617,0.0047950763,-280.9168,80.42119,-22.085426,18.614183,8.410184,-1.5868437,6.9686112,13.490854,5.063173,6.441925,15.921841,4.700948,2.5406387,CSA18803.ogg,1346504
0.007938159,0.5340393335283591,3637.113366929685,11025.0,19.9909338168631,4103.277917094864,2205.6901327633923,6673.12259085903,0.1277397,-358.91882,-8.236344,-30.525093,-14.950207,-5.1003814,-30.805777,2.806315,-28.357258,-4.5481577,-7.7239914,-21.09355,12.624258,-29.395384,iNat1108984.ogg,134933
0.005257416,0.4829182457339298,696.2420706369024,11025.0,19.9909338168631,3871.756413161667,2315.937776374521,6553.527791583831,0.14128722,-344.10284,-3.7099326,-42.73646,-45.66615,3.1283937,-10.2661495,-0.042470112,2.5921628,-9.656937,3.7456589,-26.378153,4.916522,-16.19114,iNat1160199.ogg,134933
0.009143708,0.40163236788617884,754.4903703128382,7823.446568075009,19.9909338168631,3427.004231191422,2086.5034823179044,5850.025406504065,0.22487281,-285.79675,13.191513,-11.436239,3.916623,-12.852377,2.5510175,-15.628326,-4.887097,-14.437846,0.6978334,-10.030802,-2.6049013,-17.277449,iNat859408.ogg,134933
0.0052568214,0.4832835668281975,700.4564976616034,11025.0,19.9909338168631,3871.9767041974637,2315.8674526045374,6553.3155235255135,0.14149295,-344.0945,-3.7206857,-42.7269,-45.63671,3.1148674,-10.256994,-0.025265744,2.6142602,-9.655249,3.7294865,-26.355503,4.921659,-16.215103,XC941298.ogg,134933
0.008322297,0.18143071573247355,1288.756725099348,7717.795099690181,19.9909338168631,2240.2188115849603,2059.457489877696,4588.4124917328045,0.059306897,-394.08282,56.52845,21.209146,23.803509,6.185315,21.331577,-2.6210291,4.4588304,-9.197692,-2.2272277,-8.206966,-5.5375066,-9.186328,iNat1122209.ogg,135045
0.0009875757,0.4157249951831871,2280.07889536994,7071.499510352892,19.9909338168631,3825.5759913582942,2009.503651554965,6165.709479487788,0.22595693,-555.0875,-20.860765,-7.2903576,12.120787,-2.466403,14.809,-2.4654026,6.0869656,2.3035073,4.982681,3.9185245,3.6138117,1.9909546,iNat1207345.ogg,135045
0.00088829704,0.40728531891692993,2178.5345599676334,6650.743886060453,19.9909338168631,3769.9254386880034,1991.9095715732249,6098.504361717404,0.22092122,-554.8583,-21.032202,-9.30195,13.633866,-3.88917,14.683742,-1.4765469,5.3290534,2.515879,5.556202,3.0645452,3.5336256,2.4722767,iNat1207347.ogg,135045
0.016634421,0.4882377922621201,812.5957933065132,6718.445087501313,19.9909338168631,3984.316847629261,1884.8533456137357,6280.761012120116,0.22765897,-377.47357,-62.63964,-47.02705,-23.45282,-38.14517,-14.658843,-24.159695,-14.067237,-12.000348,-4.3885636,-4.6161804,-0.15889928,-0.38750526,iNat1208549.ogg,135045
0.022770552,0.4785998907451029,1067.449475440265,6855.854597023464,19.9909338168631,3916.5319452057206,1799.2683685388224,6069.919259856187,0.2209114,-380.80527,-54.26026,-42.2839,-20.201359,-45.37301,-9.160589,-29.169285,-12.669181,-10.047454,-7.5163555,-2.7768393,-1.579857,1.1095383,iNat1208550.ogg,135045
0.011874893,0.48730578352974185,2179.819435815754,7218.244999720036,19.9909338168631,4014.8809397924124,1667.1800449477107,5951.217281946449,0.1600249,-452.36774,-82.01932,-45.402386,-17.42957,-42.47239,-6.351353,-27.013123,-10.271772,-11.262345,-3.122976,-4.560305,1.9569982,-0.33778587,iNat1208551.ogg,135045
0.013718536,0.4898920274318609,1855.8999116032637,7188.88876485148,19.9909338168631,3975.957857180867,1809.7507353862004,6084.821428571428,0.25580245,-394.84375,-34.24183,-9.537096,2.2249215,-19.67767,8.714633,-16.511864,-2.0248587,-8.614911,-5.892907,-6.6806006,-5.1976657,-9.046621,iNat1208552.ogg,135045
0.022122245,0.4830589300184683,1627.2272197680454,7688.555636956321,19.9909338168631,3918.6609884653667,1706.0963354489695,5869.375895145485,0.21274473,-369.2174,-40.036015,-20.715193,1.9672239,-23.08331,9.049647,-23.43723,-1.114211,-10.219452,-7.862406,-4.814841,-10.191635,-7.837043,iNat1208572.ogg,135045
0.0025878968,0.3626925421099291,3713.578648869395,7688.312209651567,20.00561274966129,3202.373100602619,2030.2771423525055,5458.970523049646,0.07104315,-702.9359,27.740711,33.51898,10.1707325,-19.957289,10.548595,-10.435873,3.7247102,-14.12849,-1.8700289,-10.528066,1.8984219,-5.383289,iNat327127.ogg,135045
0.032729976,0.3540590053187344,2389.3519412888977,11025.0,19.9909338168631,3321.0196056260547,2287.600008636941,6016.876753428927,0.11004301,-200.55957,34.599255,30.21175,10.287215,-0.10720863,15.324306,-9.326886,10.690864,-5.915056,4.491975,-3.1196253,1.532056,-4.0969586,iNat48803.ogg,135045
