feature,importancia
mfcc_8,0.05588961293146233
rolloff,0.055808395860546936
mfcc_5,0.0543387721111608
freq_fundamental,0.049780258979276085
mfcc_9,0.04933821709554352
mfcc_4,0.04764095286960386
mfcc_6,0.04745729902352233
rms,0.04736468296082909
mfcc_13,0.04687029874655739
mfcc_1,0.04634324173661488
mfcc_7,0.04630893697754166
zcr,0.04581981159993616
mfcc_3,0.04512769576458132
mfcc_11,0.04320757265685634
flatness,0.04243325303160551
mfcc_12,0.04184726335431967
freq_maxima,0.04123430060588682
centroide,0.0405818423820852
mfcc_10,0.0405168923847867
mfcc_2,0.03793246092123784
freq_minima,0.03747788540680693
bandwidth,0.03668035259923865
